,사업장명,상세영업상태명,소재지전체주소,시설규모,kakao_score,lat,lon
89,캠프도고,휴업,충청남도 아산시 선장면 군덕리 279-10,3250.0,,36.7752212,126.8734497
90,국립중앙과학관,휴업,대전광역시 유성구 구성동 32-2,5081.0,,36.3761425,127.3749918
91,단양팔경투어,휴업,충청북도 단양군 단양읍 고수리 91-3,,,36.9855843,128.3805182
92,애플마루 펜션캠핑장,휴업,충청북도 단양군 영춘면 남천리 93-1,,,37.0382374,128.500739
93,백운산수련관 야영장,휴업,전라남도 광양시 옥룡면 동곡리 4-6,11978.0,,35.0692864,127.6320322
94,칠갑산도림휴양림캠핑장,휴업,충청남도 청양군 장평면 적곡리 634-1번지,,,36.39268670000001,126.8981428
95,버디버디,휴업,충청남도 태안군 남면 진산리 613-11,116.0,,36.7246181,126.272837
96,득량만풍광휴식센터,휴업,전라남도 고흥군 대서면 안남리 1448,,,34.751484,127.2501488
97,스마일캠핑장,휴업,경기도 포천시 이동면 도평리 526,0.0,,38.0757063,127.4032977
98,다옴캠핑장,폐업,경상북도 경주시 강동면 왕신리 1270-1,,,35.9623574,129.2834722
99,나는숲이다,폐업,강원도 홍천군 화촌면 구성포리 1779,105.0,,37.7933874,127.8893629
100,마노힐링캠프,폐업,경기도 용인시 처인구 해곡동 225-1,2032.0,,37.1978783,127.2729745
101,금호강 산격야영장,폐업,대구광역시 북구 산격동 1477-1번지,8500.0,,35.9095055,128.6039958
102,금호강 산격야영장,폐업,대구광역시 북구 산격동 1477-1번지,8500.0,,35.9095055,128.6039958
103,금호강 산격야영장,폐업,대구광역시 북구 산격동 1477-1번지,8500.0,,35.9095055,128.6039958
104,금호강 산격 야영장,폐업,대구광역시 북구 산격동 1477-1번지,8500.0,,35.9095055,128.6039958
105,금호강 산격 야영장,폐업,대구광역시 북구 산격동 1477-1번지,8500.0,,35.9095055,128.6039958
106,금호강 산격 야영장,폐업,대구광역시 북구 산격동 1477-1번지,8500.0,,35.9095055,128.6039958
107,금호강 산격야영장,폐업,대구광역시 북구 산격동 1477-1번지,8500.0,,35.9095055,128.6039958
108,금호강 산격야영장,폐업,대구광역시 북구 산격동 1477-1번지,8500.0,,35.9095055,128.6039958
109,금호강 산격야영장,폐업,대구광역시 북구 산격동 1477-1번지,8500.0,,35.9095055,128.6039958
110,블루아라 캠핑장,폐업,전라북도 고창군 상하면 자룡리 529-27번지,,,35.4443698,126.4357306
111,블루아라 캠핑장,폐업,전라북도 고창군 상하면 자룡리 529-27번지,,,35.4443698,126.4357306
112,블루아라 캠핑장,폐업,전라북도 고창군 상하면 자룡리 529-27번지,,,35.4443698,126.4357306
113,블루아라 캠핑장,폐업,전라북도 고창군 상하면 자룡리 529-27번지,,,35.4443698,126.4357306
114,블루아라한시캠핑장,폐업,전라북도 고창군 상하면 자룡리 529-27번지,802.0,None,35.4443698,126.4357306
115,블루아라한시캠핑장,폐업,전라북도 고창군 상하면 자룡리 529-27번지,802.0,None,35.4443698,126.4357306
116,블루아라한시캠핑장,폐업,전라북도 고창군 상하면 자룡리 529-27번지,802.0,None,35.4443698,126.4357306
117,블루아라한시캠핑장,폐업,전라북도 고창군 상하면 자룡리 529-27번지,802.0,None,35.4443698,126.4357306
118,블루아라한시캠핑장,폐업,전라북도 고창군 상하면 자룡리 529-27번지,802.0,None,35.4443698,126.4357306
119,블루아라한시캠핑장,폐업,전라북도 고창군 상하면 자룡리 529-27번지,802.0,None,35.4443698,126.4357306
120,블루아라한시캠핑장,폐업,전라북도 고창군 상하면 자룡리 529-27번지,802.0,None,35.4443698,126.4357306
121,블루아라한시캠핑장,폐업,전라북도 고창군 상하면 자룡리 529-27번지,802.0,None,35.4443698,126.4357306
122,블루아라 한시 캠핑장,폐업,전라북도 고창군 상하면 자룡리 529-27번지,851.0,,35.4443698,126.4357306
123,블루아라 한시 캠핑장,폐업,전라북도 고창군 상하면 자룡리 529-27번지,851.0,,35.4443698,126.4357306
124,블루아라 한시 캠핑장,폐업,전라북도 고창군 상하면 자룡리 529-27번지,851.0,,35.4443698,126.4357306
125,블루아라 한시 캠핑장,폐업,전라북도 고창군 상하면 자룡리 529-27번지,851.0,,35.4443698,126.4357306
126,장신리마을관리휴양지 야영장,폐업,강원도 고성군 간성읍 장신리 513번지 장신유원지휴게소,14037.0,,38.3311617,128.3780879
127,장신리마을관리휴양지 야영장,폐업,강원도 고성군 간성읍 장신리 513번지 장신유원지휴게소,14037.0,,38.3311617,128.3780879
128,장신리 유원지 야영장,폐업,강원도 고성군 간성읍 장신리 513번지 장신유원지휴게소,,,38.3311617,128.3780879
129,장신리 유원지 야영장,폐업,강원도 고성군 간성읍 장신리 513번지 장신유원지휴게소,,,38.3311617,128.3780879
130,광진해수욕장 야영장,폐업,강원도 양양군 현남면 광진리 78-20번지,,,37.9534953,128.7727582
131,광진해수욕장 야영장,폐업,강원도 양양군 현남면 광진리 78-20번지,,,37.9534953,128.7727582
132,광진해수욕장 야영장,폐업,강원도 양양군 현남면 광진리 78-20번지,,,37.9534953,128.7727582
133,광진해수욕장 야영장,폐업,강원도 양양군 현남면 광진리 78-20번지,,,37.9534953,128.7727582
134,광진리해수욕장야영장,폐업,강원도 양양군 현남면 광진리 78-20번지,,,37.9534953,128.7727582
135,광진리해수욕장야영장,폐업,강원도 양양군 현남면 광진리 78-20번지,,,37.9534953,128.7727582
136,광진리해수욕장야영장,폐업,강원도 양양군 현남면 광진리 78-20번지,,,37.9534953,128.7727582
137,광진리해수욕장야영장,폐업,강원도 양양군 현남면 광진리 78-20번지,,,37.9534953,128.7727582
