CMPSI_ID,CMPSI_NM,CMPSI_SCTIN_NM,CMPSI_LTTD_VAL,CMPSI_LNGTD_VAL,CMPSI_ADDR,CMPSI_GNRL_CMPGR_CNT,CMPSI_CAR_CMPGR_CNT,CMPSI_GLPG_CNT,CMPSI_CARBN_CNT,CMPSI_TLROM_CNT,CMPSI_SWRM_CNT,CMPSI_WSBS_CNT,CMPSI_EXTNG_CNT,CMPSI_FFWT_CNT,CMPSI_FFSD_CNT,CMPSI_FIRE_SENSR_CNT,CMPSI_ETC_SBFCL_NM1,CMPSI_ETC_SBFCL_NM2,CMPSI_INFO_DATA_STNDD_DTM,CMPSI_CNPRM_DTM,DATA_CONNO,OPERT_TPCD,OCCRR_DTM,CNTCT_BGN_DTM,CNTCT_PRCES_DTM,CNTCT_PRCES_STCD,TRNSA_ID
CAP301672,양평 다목적캠핑장,"일반야영장,글램핑",37.4264014,127.7876691,경기 양평군 양동면 양서동로 224,0,70,10,0,3,2,2,45,0,0,10,"트램폴린,물놀이장,산책로,마트, 편의점",,2020-11-20,2015-10-14,1671,I,20201125000000,,,N,
CAP301681,동물카라반,"카라반,글램핑",37.747109,127.359949,경기 가평군 상면 임초밤안골로 313,3,0,5,3,0,0,0,8,0,0,8,"전기,무선인터넷,온수,트램폴린,물놀이장,마트, 편의점",,2020-11-20,2015-10-19,1680,I,20201125000000,,,N,
CAP301685,담터맑은물 오토캠핑장,"일반야영장,글램핑",38.1481318,127.2068434,경기 포천시 관인면 담터길 123,58,0,6,0,2,1,2,35,1,0,6,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,운동시설",,2020-11-20,2015-05-29,1684,I,20201125000000,,,N,
CAP301688,제이스글램핑,글램핑,35.2773351,129.2340542,부산광역시 기장군 일광면 화전리  135,0,0,8,0,1,1,1,8,0,0,8,"전기,무선인터넷,온수,트램폴린,산책로","편백볼놀이존, 우든보트 체험전시장",2020-11-20,2016-07-08,1687,I,20201125000000,,,N,
CAP301714,아라야영장,"일반야영장,글램핑",35.9085246,128.1365131,경상북도 성주군 금수면 사더래길 116  310,0,0,0,0,2,2,2,0,0,0,0,"전기,무선인터넷,온수,물놀이장,운동시설",,2020-11-20,2016-07-29,1713,I,20201125000000,,,N,
CAP301719,더엠캠프,"일반야영장,글램핑",37.632977,127.475518,경기도 가평군 설악면 천안리 714-1번지 외 8필지,16,0,3,0,1,1,8,50,17,17,3,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,마트, 편의점",개별 취사장 사용가능,2020-11-20,2018-04-26,1718,I,20201125000000,,,N,
CAP301725,욜로캠프,"자동차야영장,카라반,글램핑",37.987266,127.0211427,경기 연천군 전곡읍 양원로 108-37,8,0,6,3,1,1,1,18,0,0,9,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설","12월까지영업,족구장",2020-11-20,2017-04-27,1724,I,20201125000000,,,N,
CAP301734,유명산글램핑,"일반야영장,글램핑",37.5930897,127.4871615,경기도 가평군 설악면 가일리 234,0,0,24,0,2,2,8,8,0,0,24,"전기,무선인터넷,장작판매,온수,산책로,마트, 편의점",,2020-11-20,2016-09-23,1733,I,20201125000000,,,N,
CAP301740,제이원빌리지,"일반야영장,글램핑",35.1317412,128.017368,경상남도 진주시 내동면 내축로 563번길 27-3,0,0,7,0,4,2,2,12,8,0,12,"전기,무선인터넷,온수,물놀이장,운동시설,마트, 편의점",,2020-11-20,2018-03-07,1739,I,20201125000000,,,N,
CAP301742,제천 모노레일 글램핑,글램핑,37.0019104,128.1338412,충북 제천시 청풍면 청풍명월로 898,0,0,8,0,8,8,8,10,1,1,10,"전기,무선인터넷,장작판매,온수,운동시설,마트, 편의점",,2020-11-20,2018-07-10,1741,I,20201125000000,,,N,
CAP301757,칠선계곡글램핑,"일반야영장,글램핑",35.390238,127.6977316,경남 함양군 마천면 칠선로 201,0,0,10,0,1,1,1,10,0,0,0,"전기,무선인터넷,장작판매,온수,운동시설",,2020-11-20,2016-07-27,1756,I,20201125000000,,,N,
CAP301760,탄도항 노을 캠핑장,"자동차야영장,카라반,글램핑",37.1944116,126.6454899,경기도 안산시 단원구 대부황금로 17-2  탄도항노을캠핑장,0,60,16,5,2,2,2,0,0,0,0,"트램폴린,물놀이장,운동장,마트, 편의점","트램펄린, 유아용 풀장, 족구장",2020-11-20,2014-10-29,1759,I,20201125000000,,,N,
CAP301763,파라독스캠핑,"일반야영장,글램핑",36.6201728,126.304464,충남 태안군 남면 마검포길162-31,0,0,10,0,2,2,1,12,1,1,10,"전기,무선인터넷,온수,물놀이장,놀이터,산책로,운동시설,마트, 편의점",,2020-11-20,2018-03-27,1762,I,20201125000000,,,N,
CAP301764,파인 글램핑,"자동차야영장,글램핑",37.2143767,127.5317816,경기 여주시 가남읍 경충대로 1483-25 파인 관광농원,4,0,10,0,2,2,1,0,0,0,0,산책로,"풋살장, 족구장, 수영장",2020-11-20,2015-09-04,1763,I,20201125000000,,,N,
CAP301771,프랭클리 글램핑,"일반야영장,글램핑",37.7284708,126.451105,인천 강화군 선원면 선행리 492-5 번지,0,0,5,0,0,0,0,5,0,0,5,"전기,무선인터넷,온수,물놀이장,놀이터,산책로,마트, 편의점",카페,2020-11-20,2018-07-06,1770,I,20201125000000,,,N,
CAP301778,홀스킹덤 글램핑,"일반야영장,글램핑",37.778308,127.244691,경기도 포천시 내촌면 소리개길 108-13,0,0,10,0,1,1,11,12,0,0,10,"전기,무선인터넷,온수,물놀이장,놀이터,산책로,운동시설",,2020-11-20,2018-05-04,1777,I,20201125000000,,,N,
CAP301783,힐링아일랜드 글램핑,"일반야영장,글램핑",34.8289692,127.9873806,경남 남해군 삼동면 지족리 1149-2번지,5,0,17,0,1,1,0,26,2,0,20,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,운동시설,마트, 편의점",,2020-11-20,2018-02-09,1782,I,20201125000000,,,N,
CAP301785,가평글램핑클럽레스피아,글램핑,37.6622328,127.5434061,경기도 가평군 설악면 위곡리  7-1,1,0,21,0,2,2,1,2,0,0,4,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,마트, 편의점",,2020-11-20,2016-05-31,1784,I,20201125000000,,,N,
CAP301790,HJ글램핑&카라반,"카라반,글램핑",38.0598067,127.3875797,경기도 포천시 이동면 도평리  105-2,0,0,22,16,1,1,0,4,0,0,4,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,마트, 편의점",,2020-11-20,2016-07-04,1789,I,20201125000000,,,N,
CAP301794,가평 오렌지캠프,"자동차야영장,글램핑",37.9133831,127.5765247,경기 가평군 북면 멱골로272번길 7 가평오렌지캠프,22,7,22,0,4,4,6,20,0,0,20,"전기,무선인터넷,온수,물놀이장,운동시설",,2020-11-20,2016-05-04,1793,I,20201125000000,,,N,
CAP301805,남이섬힐링 캠핑장,"자동차야영장,글램핑",37.7722842,127.5362846,경기 가평군 가평읍 북한강변로 516,0,0,0,0,0,0,0,0,0,0,0,"온수,물놀이장,운동시설",,2020-11-20,2015-05-09,1804,I,20201125000000,,,N,
