"CMPSI_ID","CMPSI_NM","CMPSI_SCTIN_NM","CMPSI_LTTD_VAL","CMPSI_LNGTD_VAL","CMPSI_ADDR",CMPSI_GNRL_CMPGR_CNT,CMPSI_CAR_CMPGR_CNT,CMPSI_GLPG_CNT,CMPSI_CARBN_CNT,CMPSI_TLROM_CNT,CMPSI_SWRM_CNT,CMPSI_WSBS_CNT,CMPSI_EXTNG_CNT,CMPSI_FFWT_CNT,CMPSI_FFSD_CNT,CMPSI_FIRE_SENSR_CNT,"CMPSI_ETC_SBFCL_NM1","CMPSI_ETC_SBFCL_NM2","CMPSI_INFO_DATA_STNDD_DTM","CMPSI_CNPRM_DTM",DATA_CONNO,"OPERT_TPCD","OCCRR_DTM","CNTCT_BGN_DTM","CNTCT_PRCES_DTM","CNTCT_PRCES_STCD","TRNSA_ID"
"CAP300027","㈜씨스테이 야영장","자동차야영장","37.2801027","126.4683211","인천광역시 옹진군 영흥면 내리  1212-52",13,0,0,0,2,2,2,8,0,0,0,"전기,무선인터넷,온수,물놀이장,운동시설",NULL,"2020-11-20","2016-02-26",26,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300028","㈜제주글램핑","일반야영장","33.4814834","126.752199","제주특별자치도 제주시 구좌읍 덕천리  1288-2",0,0,81,0,2,2,2,0,0,0,0,"전기,온수,물놀이장,놀이터,운동시설",NULL,"2020-11-20","2016-03-03",27,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300029","가람관광농원","일반야영장","35.5873961","128.0576","경남 합천군 봉산면 인덕로 930",0,22,0,0,1,1,1,7,0,0,0,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,운동시설",NULL,"2020-11-20","2017-11-14",28,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300030","가래골농원 캠핑장","일반야영장","37.9938562","127.1592806","경기도 포천시 창수면 추동리  821",0,0,0,0,0,0,0,90,0,0,0,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,운동시설,마트, 편의점",NULL,"2020-11-20","2016-09-13",29,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300031","가루실캠프","일반야영장","36.6562383","126.6436775","충청남도 예산군 덕산면 둔리  525-34",21,0,2,0,3,2,2,15,1,0,0,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,운동시설",NULL,"2020-11-20","2016-03-24",30,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300032","가리산자연휴양림 야영장","자동차야영장","37.865122","127.9839063","강원도 홍천군 두촌면 가리산길 426  가리산자연휴양림 야영장",38,0,0,0,1,1,1,20,0,0,0,"무선인터넷,놀이터,운동시설","어드벤처","2020-11-20","2015-07-07",31,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300033","가마실캠핑장","일반야영장","37.1214901","128.2965596","충청북도 제천시 자작동  242",0,31,0,0,1,1,1,0,0,0,0,"전기,장작판매,온수,트램폴린,물놀이장,운동시설",NULL,"2020-11-20","2015-11-09",32,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300034","가산 글램핑","일반야영장,카라반,글램핑","36.0884556","128.474735","경상북도 칠곡군 가산면 학하리  1178-1",0,0,26,5,2,2,1,31,0,0,31,"전기,온수,트램폴린,물놀이장,놀이터,산책로,운동시설",NULL,"2020-11-20","2015-10-19",33,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300035","가산산성 야영장","일반야영장","36.0188551","128.6201675","경상북도 칠곡군 동명면 한티로 1034  가산산성야영장",200,0,0,0,5,0,5,34,344,0,0,NULL,NULL,"2020-11-20","2015-07-08",34,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300036","가야권역 소리마실 영농조합법인","일반야영장","35.7724993","128.128841","경상남도 합천군 가야면 야천리  산 861-1",0,39,0,0,2,2,2,39,0,1,0,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,운동장,운동시설",NULL,"2020-11-20","2016-06-07",35,"I","20201125000000",NULL,NULL,"N",NULL
