CMPSI_ID,CMPSI_NM,CMPSI_SCTIN_NM,CMPSI_LTTD_VAL,CMPSI_LNGTD_VAL,CMPSI_ADDR,CMPSI_GNRL_CMPGR_CNT,CMPSI_CAR_CMPGR_CNT,CMPSI_GLPG_CNT,CMPSI_CARBN_CNT,CMPSI_TLROM_CNT,CMPSI_SWRM_CNT,CMPSI_WSBS_CNT,CMPSI_EXTNG_CNT,CMPSI_FFWT_CNT,CMPSI_FFSD_CNT,CMPSI_FIRE_SENSR_CNT,CMPSI_ETC_SBFCL_NM1,CMPSI_ETC_SBFCL_NM2,CMPSI_INFO_DATA_STNDD_DTM,CMPSI_CNPRM_DTM,DATA_CONNO,OPERT_TPCD,OCCRR_DTM,CNTCT_BGN_DTM,CNTCT_PRCES_DTM,CNTCT_PRCES_STCD,TRNSA_ID
CAP300399,들살이오토캠핑장,"일반야영장,자동차야영장,카라반",35.5346107,129.0108651,울산광역시 울주군 상북면 배내로 1064-4  들살이오토캠핑장,0,35,0,0,1,1,1,20,1,0,0,"전기,무선인터넷,장작판매,온수,운동시설",,2020-11-20,2015-04-20,398,I,20201125000000,,,N,
CAP300402,들음카라반 캠핑장,"일반야영장,카라반",35.4348555,126.8763363,전라남도 장성군 북하면 가인길 59-9,0,0,0,6,0,0,0,12,0,0,0,"전기,무선인터넷,장작판매,온수",,2020-11-20,2017-03-31,401,I,20201125000000,,,N,
CAP300403,디투어스캠프클럽,"자동차야영장,카라반",37.0103348,128.1545537,충북 제천시 청풍면 청풍명월로 246,0,0,0,17,1,1,0,45,0,0,22,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설",,2020-11-20,2016-04-14,402,I,20201125000000,,,N,
CAP300405,땅끝오토캠핑장,"일반야영장,카라반",34.3097516,126.5208703,전남 해남군 송지면 갈산길 25-15,0,46,0,16,0,0,0,0,0,0,0,"전기,온수,놀이터,산책로,운동장",,2020-11-20,2008-11-11,404,I,20201125000000,,,N,
CAP300426,리버 카라반,카라반,37.6746265,127.740972,강원도 홍천군 북방면 노일로 144-8  리버 카라반,0,0,0,7,0,0,0,0,0,0,0,"전기,무선인터넷,온수,물놀이장,운동시설",,2020-11-20,2016-08-08,425,I,20201125000000,,,N,
CAP300444,만리포미소카라반,"일반야영장,카라반",36.7839609,126.1406022,충청남도 태안군 소원면 모항리  1325-120,0,0,0,0,0,0,0,0,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,마트, 편의점",,2020-11-20,2016-08-03,443,I,20201125000000,,,N,
CAP300452,맘빌리지,"일반야영장,카라반",36.7377478,126.2022919,충청남도 태안군 소원면 법산리  320 맘빌리지,0,0,0,12,1,1,4,20,0,2,13,"전기,장작판매,온수,트램폴린,물놀이장,산책로",,2020-11-20,2015-04-22,451,I,20201125000000,,,N,
CAP300453,망상오토캠핑리조트 제2오토캠핑장,"자동차야영장,카라반",37.5903965,129.0938782,강원도 동해시 망상동  393-97,56,0,0,41,2,2,2,0,0,0,0,"전기,무선인터넷,온수,산책로",,2020-11-20,2014-07-14,452,I,20201125000000,,,N,
CAP300462,명지산카라반오토캠핑장,"일반야영장,자동차야영장,카라반,글램핑",37.9814614,127.4474625,경기도 가평군 북면 적목리  85-7,2,0,15,26,5,5,5,46,0,4,46,"전기,무선인터넷,장작판매,온수,놀이터,운동시설",,2020-11-20,2016-06-23,461,I,20201125000000,,,N,
CAP300468,"블루오션리조트, 오션파크","일반야영장,카라반",36.6714303,126.2881166,충청남도 태안군 남면 신장리 353-148,0,0,0,29,0,0,0,60,0,0,56,"전기,장작판매,온수,놀이터,산책로,운동시설,마트, 편의점",,2020-11-20,2017-05-25,467,I,20201125000000,,,N,
