CMPSI_ID,CMPSI_NM,CMPSI_SCTIN_NM,CMPSI_LTTD_VAL,CMPSI_LNGTD_VAL,CMPSI_ADDR,CMPSI_GNRL_CMPGR_CNT,CMPSI_CAR_CMPGR_CNT,CMPSI_GLPG_CNT,CMPSI_CARBN_CNT,CMPSI_TLROM_CNT,CMPSI_SWRM_CNT,CMPSI_WSBS_CNT,CMPSI_EXTNG_CNT,CMPSI_FFWT_CNT,CMPSI_FFSD_CNT,CMPSI_FIRE_SENSR_CNT,CMPSI_ETC_SBFCL_NM1,CMPSI_ETC_SBFCL_NM2,CMPSI_INFO_DATA_STNDD_DTM,CMPSI_CNPRM_DTM,DATA_CONNO,OPERT_TPCD,OCCRR_DTM,CNTCT_BGN_DTM,CNTCT_PRCES_DTM,CNTCT_PRCES_STCD,TRNSA_ID
CAP300371,돌풀마루,"일반야영장,글램핑",35.3287633,127.4780232,전라남도 구례군 산동면 위안리  760,0,0,2,1,1,1,1,3,0,0,3,"전기,온수,운동시설",,2020-11-20,2016-05-03,370,I,20201125000000,,,N,
CAP300373,동검도노을캠핑장,일반야영장,37.5874129,126.5096141,인천 강화군 길상면 동검길 159-13 동검교회뒷길도로 왼쪽첫번째 집,23,0,0,0,3,2,2,15,0,0,0,"전기,무선인터넷,장작판매,온수,마트, 편의점",근처 영화관 및 바다 있음,2020-11-20,2016-09-13,372,I,20201125000000,,,N,
CAP300374,동광농촌체험마을,일반야영장,33.306675,126.33705,제주특별자치도 서귀포시 안덕면 동광리  1583,0,0,0,0,0,0,0,0,0,0,0,,,2020-11-20,2015-06-25,373,I,20201125000000,,,N,
CAP300378,동방캠핑하우스,일반야영장,35.8110552,129.2541665,경상북도 경주시 동방동  758-4,0,0,0,0,0,0,0,0,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장",,2020-11-20,2015-07-09,377,I,20201125000000,,,N,
CAP300383,동화힐링캠프,"일반야영장,자동차야영장,글램핑",37.8921357,126.8412732,경기도 파주시 파평면 두포리  산 59,0,0,34,7,2,2,1,60,0,0,0,"전기,무선인터넷,온수,트램폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트, 편의점","숯석쇠 10,000원",2020-11-20,2016-03-18,382,I,20201125000000,,,N,
CAP300385,두곡해수욕장야영장,일반야영장,34.7683162,127.907299,경상남도 남해군 남면 당항리  535-11,0,0,0,0,2,2,2,5,5,0,0,놀이터,,2020-11-20,2015-08-10,384,I,20201125000000,,,N,
CAP300386,두레관광농원 아리솔캠핑장,일반야영장,35.2932714,127.3677095,전남 곡성군 고달면 고달리 산 22,0,0,0,0,1,1,1,0,0,0,0,"전기,놀이터,운동시설,마트, 편의점",,2020-11-20,2017-05-29,385,I,20201125000000,,,N,
CAP300387,두리캠핑장,일반야영장,37.3539309,127.5070566,경기도 여주시 이여로 778-10,12,0,0,0,1,1,1,6,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설",,2020-11-20,2017-07-27,386,I,20201125000000,,,N,
CAP300389,두모마을야영장,일반야영장,34.7412176,127.9580998,경상남도 남해군 상주면 양아로533번길 18  남해두모마을,22,0,0,0,1,1,1,6,1,0,0,"전기,놀이터",,2020-11-20,2016-06-09,388,I,20201125000000,,,N,
CAP300390,두산분교 캠핑장,"일반야영장,자동차야영장",37.3082565,128.1710679,강원 영월군 무릉도원면 두산길 237-4 두산분교 캠핑장,30,30,0,0,4,4,2,35,0,0,0,"전기,무선인터넷,장작판매,온수,운동장,운동시설",,2020-11-20,2015-05-26,389,I,20201125000000,,,N,
CAP300391,둔내캠프,일반야영장,37.5354346,128.2549846,강원도 횡성군 둔내면 용현로 429  둔내캠프,0,25,0,0,1,1,2,10,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",,2020-11-20,2015-08-01,390,I,20201125000000,,,N,
CAP300392,둘레길관광농원,일반야영장,35.243576,127.7919829,경상남도 산청군 시천면 신천리  225-1,57,0,0,0,4,4,1,20,0,2,10,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,산책로,운동장,마트, 편의점",,2020-11-20,2016-06-20,391,I,20201125000000,,,N,
CAP300395,둥지펜션 캠핑장,일반야영장,35.6733526,128.9927325,경상북도 청도군 운문면 신원리  322-4,0,0,0,0,0,0,0,0,0,0,0,"전기,온수,운동시설",,2020-11-20,2016-04-13,394,I,20201125000000,,,N,
CAP300396,득량만풍광휴식센터,"일반야영장,카라반",34.7533561,127.2522858,전라남도 고흥군 대서면 안남리 산 195,0,0,0,4,0,0,0,4,0,0,0,"전기,온수",,2020-11-20,2016-02-02,395,I,20201125000000,,,N,
CAP300397,든해솔 계곡캠핑장,일반야영장,35.4026731,127.9639396,경상남도 산청군 신등면 정곡척지로 475번길 142-12,14,0,0,0,0,0,0,8,7,0,0,"전기,무선인터넷,장작판매,온수,놀이터,운동시설",,2020-11-20,2017-04-28,396,I,20201125000000,,,N,
CAP300398,들꽃피는언덕 캠핑장,"일반야영장,글램핑",37.7761703,126.9600316,경기도 양주시 백석읍 권율로 870  들꽃피는언덕,14,0,6,0,5,5,1,15,0,0,0,"전기,장작판매,온수,트램폴린,물놀이장,놀이터,운동장",잔디밭 600평 있음,2020-11-20,2017-09-26,397,I,20201125000000,,,N,
CAP300399,들살이오토캠핑장,"일반야영장,자동차야영장,카라반",35.5346107,129.0108651,울산광역시 울주군 상북면 배내로 1064-4  들살이오토캠핑장,0,35,0,0,1,1,1,20,1,0,0,"전기,무선인터넷,장작판매,온수,운동시설",,2020-11-20,2015-04-20,398,I,20201125000000,,,N,
CAP300400,I go 오토캠핑장,일반야영장,35.6431968,128.8503712,경상북도 청도군 매전면 온장길 123-46  I go 오토캠핑장,20,20,0,0,1,1,1,20,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,운동시설",낚시터,2020-11-20,2020-06-23,399,I,20201125000000,,,N,
CAP300402,들음카라반 캠핑장,"일반야영장,카라반",35.4348555,126.8763363,전라남도 장성군 북하면 가인길 59-9,0,0,0,6,0,0,0,12,0,0,0,"전기,무선인터넷,장작판매,온수",,2020-11-20,2017-03-31,401,I,20201125000000,,,N,
CAP300404,땅끝바다낚시터&글램핑,일반야영장,34.3055472,126.5166229,전라남도 해남군 송지면 송호리  1220-11,0,0,0,0,0,0,0,0,0,0,0,물놀이장,,2020-11-20,2015-06-29,403,I,20201125000000,,,N,
CAP300405,땅끝오토캠핑장,"일반야영장,카라반",34.3097516,126.5208703,전남 해남군 송지면 갈산길 25-15,0,46,0,16,0,0,0,0,0,0,0,"전기,온수,놀이터,산책로,운동장",,2020-11-20,2008-11-11,404,I,20201125000000,,,N,
CAP300406,땅끝황토나라테마촌,일반야영장,34.3216232,126.519902,전라남도 해남군 송지면 땅끝해안로 1730  땅끝황토나라테마촌,28,28,0,0,0,0,0,0,0,0,0,"전기,온수,물놀이장,놀이터,산책로,운동시설,마트, 편의점",,2020-11-20,2015-05-26,405,I,20201125000000,,,N,
CAP300407,땅끝황토펜션야영장,일반야영장,36.0194369,129.5818391,경상북도 포항시 남구 구룡포읍 석병리  666-46,33,0,0,0,6,4,3,20,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설,마트, 편의점",,2020-11-20,2015-06-29,406,I,20201125000000,,,N,
CAP300409,또올래캠핑장,"일반야영장,자동차야영장",37.9745263,127.4477491,경기 가평군 북면 가화로 2745-70 또올래캠핑장,100,100,0,0,6,6,18,50,3,6,10,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,운동시설,마트, 편의점",카페운영,2020-11-20,2017-04-10,408,I,20201125000000,,,N,
CAP300410,뜨란솔 캠핑장,"일반야영장,자동차야영장",37.331839,128.2765429,강원 영월군 무릉도원면 무릉법흥로 782-26 뜨란솔 캠핑장,20,34,0,0,2,2,2,20,0,0,0,"전기,무선인터넷,장작판매,온수,트램폴린,놀이터,산책로,운동시설",놀이터,2020-11-20,2015-05-29,409,I,20201125000000,,,N,
CAP300411,라라솔캠핑장,일반야영장,37.5233697,127.8670611,강원도 횡성군 서원면 유현리  431,0,45,0,0,2,2,1,24,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",,2020-11-20,2015-04-07,410,I,20201125000000,,,N,
CAP300412,라온 글램핑,"일반야영장,글램핑",35.3336173,126.864034,전라남도 장성군 북하면 월성리  811-2,0,0,10,0,0,0,2,10,0,0,0,"전기,무선인터넷,장작판매,물놀이장,놀이터",,2020-11-20,2016-08-31,411,I,20201125000000,,,N,
CAP300413,라파엘 펜션 글램핑장,"일반야영장,글램핑",36.815381,127.786704,경남 고성군 회화면 당항만로 945,0,0,15,0,0,0,0,23,21,2,21,"전기,무선인터넷,온수,물놀이장,운동시설",,2020-11-20,2016-02-17,412,I,20201125000000,,,N,
CAP300414,라포레캠핑장,일반야영장,36.8545512,127.0148204,충청남도 아산시 음봉면로 87  라포레캠핑장,20,0,0,0,3,2,6,25,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,운동시설",,2020-11-20,2016-11-01,413,I,20201125000000,,,N,
CAP300415,래미안밸리캠핑장,일반야영장,36.0612426,127.340758,전라북도 완주군 운주면 금고당로 617  래미안밸리캠핑장,0,45,0,0,2,2,2,25,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",,2020-11-20,2016-01-04,414,I,20201125000000,,,N,
CAP300419,렛츠고 강화캠핑,일반야영장,37.620496,126.4068601,인천광역시 강화군 화도면 장화리  946-15,0,36,0,0,2,2,3,20,0,0,0,"전기,장작판매,온수,트램폴린,물놀이장,운동시설",,2020-11-20,2015-07-17,418,I,20201125000000,,,N,
CAP300423,로하스캠핑,일반야영장,35.5338423,127.0819153,전라북도 정읍시 산내면 종성리 662,14,0,0,15,1,1,1,0,0,0,0,"전기,물놀이장,놀이터",,2020-11-20,2017-09-01,422,I,20201125000000,,,N,
CAP300424,룩스글램핑앤팜,일반야영장,36.7480684,128.8421119,경북 안동시 도산면 양평길 23-52,0,0,0,0,0,0,0,0,0,0,0,"전기,무선인터넷,온수",,2020-11-20,2015-05-08,423,I,20201125000000,,,N,
