,조회수,제목,주소,전기,온수,마트.편의점,트렘폴린,운동장,놀이터,산책로,장작판매,물놀이장,와이파이,운동시설
617,14186,달콤이네 캠핑장,강원 원주시 문막읍 취병로 106 ,1,0,0,1,0,0,1,0,1,0,0
310,17083,(주)양촌여울체험캠프,경상남도 창원시 마산합포구 진전면 의산삼일로 60 ,1,1,1,0,0,0,1,0,1,0,0
686,13761,송도오토캠핑장,충남 태안군 소원면 모항항길 106-22 ,1,1,1,0,0,0,1,0,1,0,0
141,21483,포천 비둘기낭 캠핑장,경기 포천시 영북면 비둘기낭길 116 ,1,1,0,0,0,0,1,0,1,0,0
1159,11042,샛별글램핑,충남 태안군 안면읍 샛별길 238-10 ,1,1,0,0,0,0,1,0,1,0,0
98,24180,당진난지도 국민여가캠핑장,충청남도 당진시 석문면 난지도리 701 ,1,0,0,0,0,0,1,0,1,0,0
243,17981,입화산 참살이 숲 야영장,울산광역시  중구 다운동 8번지 ,1,1,0,0,1,1,0,0,1,0,0
1391,3507,백암온천마을 영농조합법인 야영장,경북 울진군 온정면 온정리 665-2  ,1,1,0,0,1,1,0,0,1,0,0
999,12119,강촌관광농원,강원 춘천시 남산면 오양골길 134 ,0,1,0,0,1,1,0,0,1,0,0
975,12198,토함산 자연휴양림,경상북도 경주시 양북면 불국로 1208-45  ,0,0,0,0,1,1,0,0,1,0,0
1098,11416,옥성 자연휴양림,경상북도 구미시 옥성면 휴양림길 150  ,0,0,0,0,1,1,0,0,1,0,0
344,16622,큐브빌리지글램핑,전남 강진군 대구면 청자로 1339-74 ,1,1,0,1,0,1,0,0,1,0,0
1070,11672,(주)밀모 빨강치마자동차야영장, ,1,1,1,0,0,1,0,0,1,0,0
247,17928,청양고운캠핑장,충남 청양군 청양읍 식물원길 398-1  ,1,1,0,0,0,1,0,0,1,0,0
315,17034,목사골 야영장,전남 곡성군 목사동면 용봉리 425 ,1,1,0,0,0,1,0,0,1,0,0
543,14747,회문랜드 오토캠핑장,전북 순창군 구림면 안정리 233 ,1,1,0,0,0,1,0,0,1,0,0
871,12659,마방캠핑장,경상북도 봉화군 소천면 고선리 510 ,1,1,0,0,0,1,0,0,1,0,0
886,12617,마이웨이 리조트 관광농원,경남 밀양시 산외면 엄광리 1198-1 ,1,1,0,0,0,1,0,0,1,0,0
944,12395,구수곡 자연휴양림,경상북도 울진군 북면 십이령로 2721  ,1,1,0,0,0,1,0,0,1,0,0
