,소재지전체주소,lat,lon
192,강원도 강릉시 옥계면 금진리 799-16,37.6276217,129.0473711
193,강원도 강릉시 주문진읍 향호리 8-17,37.8996511,128.7843327
194,경상북도 경주시 감포읍 전촌리 686-2,35.7872111,129.4900735
195,충청북도 제천시 천남동 220-16,37.1335467,128.1808344
196,전라남도 곡성군 옥과면 합강리 499-1,35.3169841,127.1697162
197,전라남도 완도군 신지면 신리 산 30-7,34.3276322,126.8106304
198,전라남도 완도군 신지면 신리 산 30-6,34.3277035,126.8098035
199,강원도 양양군 현북면 기사문리 89-37,38.0061796,128.7306347
200,강원도 양양군 현북면 잔교리 4-9,37.9946293,128.7413827
201,강원도 양양군 양양읍 조산리 433-19,38.112352,128.6376361
202,강원도 양양군 강현면 정암리 1-4,38.1439125,128.6121743
203,경상북도 포항시 북구 송라면 지경리 407-18,36.2513195,129.3727393
204,강원도 양양군 강현면 전진리 61-13,38.1289068,128.6243174
205,강원도 양양군 현남면 동산리 203-34,37.9815546,128.7596635
206,강원도 양양군 현남면 동산리 90-35,37.9789861,128.759637
207,강원도 양양군 손양면 동호리 1-113,38.0504729,128.6882394
208,강원도 삼척시 원덕읍 월천리 577 번지 일원,37.1635379,129.339367
209,강원도 삼척시 원덕읍 월천리 577 번지 일원,37.1635379,129.339367
210,강원도 양양군 현남면 광진리 78-20,37.9534953,128.7727582
211,강원도 양양군 강현면 정암리 1-4,38.1439125,128.6121743
212,경상북도 영덕군 병곡면 영리 119-17,36.5940233,129.4092462
213,강원도 양양군 현남면 인구리 1-118 1-117,37.966462,128.7598277
214,강원도 양양군 현남면 남애리 600-14,37.9483325,128.7746942
215,강원도 고성군 거진읍 반암리 1,38.423176,128.462542
216,강원도 고성군 거진읍 화포리 516-1,38.4596259,128.4407382
217,강원도 고성군 죽왕면 오호리 1-5,38.3305237,128.5273418
218,강원도 고성군 현내면 초도리 94,38.48177039999999,128.4358439
219,강원도 고성군 죽왕면 삼포리 1-11,38.3127679,128.536057
220,강원도 고성군 죽왕면 공현진리 143-39,38.3532645,128.5095817
221,강원도 고성군 죽왕면 삼포리 243-18,38.3180636,128.5311203
222,강원도 고성군 죽왕면 공현진리 431-12 공현진2리해변관리사무소,38.35713670000001,128.5093914
223,강원도 고성군 죽왕면 가진리 산 1-10,38.3668771,128.5084962
224,강원도 고성군 토성면 청간리 1-14,38.2685731,128.5562703
225,강원도 고성군 토성면 천진리 111-5,38.2602554,128.5602748
226,강원도 고성군 거진읍 거진리 22-20,38.4418506,128.4542484
227,강원도 양양군 현남면 남애리 180-11,37.9349778,128.7882848
228,강원도 양양군 현남면 원포리 1-10,37.9317613,128.7876009
229,강원도 양양군 현남면 동산리 203-54,37.9818945,128.7565491
230,강원도 양양군 강현면 물치리 67-1,38.1536005,128.6078636
231,강원도 양양군 현남면 시변리 12-4,37.9736587,128.759746
232,강원도 양양군 현북면 하광정리 616,38.023697,128.7226991
233,강원도 양양군 현남면 북분리 2-5,37.9855192,128.7506394
234,강원도 속초시 대포동 591 번지선,38.1830974,128.608531
235,강원도 양양군 양양읍 조산리 433-19 일원,38.112352,128.6376361
236,"강원도 양양군 강현면 용호리 4-3 , 전진리 61-13",38.1289068,128.6243174
237,충청남도 보령시 오천면 원산도리 1860-6 앞 공유수면,36.3628576,126.4316372
238,충청남도 보령시 오천면 원산도리 1860-13,36.3628576,126.4316372
239,강원도 양양군 현북면 잔교리 4-9,37.9946293,128.7413827
240,강원도 양양군 현북면 기사문리 89-37,38.0061796,128.7306347
241,강원도 양양군 손양면 송전리 1-35,38.0894395,128.6626674
242,강원도 양양군 손양면 동호리 1-113,38.0504729,128.6882394
243,충청남도 보령시 오천면 원산도리 1193-1,36.3663229,126.4118857
244,경상북도 영덕군 남정면 장사리 74-1,36.2820733,129.3756686
245,경상북도 영덕군 병곡면 병곡리 58-5,36.5968194,129.4096368
246,강원도 양양군 현북면 하광정리 591,38.0265755,128.7175688
247,충청남도 보령시 오천면 원산도리 1671-79,36.3694031,126.3995315
248,대구광역시 북구 산격동 1477-1,35.9095055,128.6039958
249,제주특별자치도 제주시 한림읍 금능리 2027,33.391196,126.2361876
