,관광지명,광역시/도,시/군/구,도로명주소,검색건수,date
307,중랑숲캠핑장,서울특별시,중랑구,서울 중랑구 망우로87길 110-0,1875,202009
308,삼락생태공원오토캠핑장,부산광역시,사상구,부산 사상구,1652,202009
309,황매산오토캠핑장제1캠핑장,경상남도,합천군,경남 합천군 황매산공원길 331-0,1525,202009
310,백로주유원지캠프장,경기도,포천시,경기 포천시 호국로 2671-22,1489,202009
311,대저캠핑장,부산광역시,강서구,부산 강서구,1471,202009
312,한탄강오토캠핑장,경기도,연천군,경기 연천군 선사로 76-0,1470,202009
313,보리울오토캠핑장,강원도,홍천군,강원 홍천군 밤벌길 131-53,1422,202009
314,둘레길캠핑장,충청남도,태안군,충남 태안군 꾸지나무길 37-76,1416,202009
315,김포한강오토캠핑장,경기도,김포시,경기 김포시 월하로912번길 64-0,1402,202009
316,몽산포오토캠핑장,충청남도,태안군,충남 태안군 몽산포길 65-24,1391,202009
317,몽산포청솔오토캠핑장,충청남도,태안군,충남 태안군 몽산포길 99-20,1361,202009
318,함허동천야영장,인천광역시,강화군,인천 강화군 해안남로1196번길 38-0,1274,202009
319,섬강두꺼비오토캠핑장,강원도,원주시,강원 원주시 선유길 135-0,1267,202009
